SYMBOL,IONIC_RADIUS,MOD_OF_ELASTICITY,BP,MP,DENSITY,AT_WT,BCC_EFF_LAT_CNT,BCC_ENERGY,BCC_ENERGY_DIFF,BCC_FERMI,BCC_MAG_MOM,BCC_VOLUME_PA,BCC_VOLUME_DIFF,GS_BANDGAP,GS_EFF_LAT_CNT,GS_ENERGY,GS_MAG_MOM,GS_VOLUME_PA,HH_IP,HH_IR,ICSD_VOLUME,COV_RAD,ION_ERGY,ATOM_RAD,ELECT_AFF,AT_RAD,AT_VOL,MEN_NUM,N_WS_THIRD,1_ION_POT,2_ION_POT,3_ION_POT,CTE,SP_HEAT_CAP,THERMAL_COND,CONDUCTIVITY,HEAT_OF_FUSION,HEAT_OF_VAP,ELECTRONEGATIVITY,AT_NUM,PERIOD,GRP,VALENCE,IS_HEXAGONAL,IS_BCC,IS_CUBIC,IS_FCC,IS_ORTHO,IS_RHOMBO,IS_MONO,IS_TETRA,IS_ALKALI,IS_ALKALI_EARTH,IS_BORON,IS_CARBON,IS_CHALCOGEN,IS_HALOGEN,IS_HYDROGEN,IS_NOBLE_GAS,IS_PINICTIDE,IS_RARE_EARCH,IS_TRANS_METAL,S_ORBITAL,P_ORBITAL,D_ORBITAL,F-ORBITAL,STABLE_OXIDATION_STATE,IS_D_BLOCK,IS_F_BLOCK,IS_METAL,IS_METALLOID,IS_NONMETAL,ND_UNFILLED,ND_VALENCE,NF_UNFILLED,NF_VALENCE,NP_UNFILLED,NP_VALENCE,NS_UNFILLED,NS_VALENCE,N_UNFILLED
Cm,0.0,,0.0,1620.0,13.5,247.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,21.0,0.0,581.0,0.0,0.0,0.0,18.28,28.0,,6.02,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,96,7,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,9,1,7,7,0,0,0,2,16
Bk,0.0,,0.0,1620.0,14.0,247.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,31.2,0.0,601.0,0.0,0.0,0.0,0.0,30.0,,6.23,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,97,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,5,9,0,0,0,2,5
Cf,0.0,,0.0,1170.0,0.0,251.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,608.0,0.0,0.0,0.0,0.0,32.0,,6.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,98,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,4,10,0,0,0,2,4
Es,0.0,,0.0,1170.0,0.0,252.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,619.0,0.0,0.0,0.0,0.0,34.0,,6.42,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,99,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,3,11,0,0,0,2,3
Fm,0.0,,0.0,1130.0,0.0,257.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,627.0,0.0,0.0,0.0,0.0,36.0,,6.5,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,100,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,2,12,0,0,0,2,2
Md,0.0,,0.0,1800.0,0.0,258.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,635.0,0.0,0.0,0.0,0.0,38.0,,6.58,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,101,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,1,13,0,0,0,2,1
No,0.0,,0.0,1100.0,0.0,259.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,642.0,0.0,0.0,0.0,0.0,40.0,,6.65,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,102,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,14,0,0,0,2,0
Lr,0.0,,0.0,1900.0,0.0,260.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,103,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,0,0,0,14,5,1,0,2,5
Rf,0.0,,0.0,0.0,0.0,261.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,8,2,0,14,0,0,0,2,8
Ha,0.0,,0.0,0.0,0.0,262.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,7,3,0,14,0,0,0,2,7
Sg,0.0,,0.0,0.0,0.0,263.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,6,4,0,14,0,0,0,2,6
Hs,0.0,,0.0,0.0,0.0,262.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,5,5,0,14,0,0,0,2,5
Bh,0.0,,0.0,0.0,0.0,265.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,6,0,14,0,0,0,2,4
Mt,0.0,,0.0,0.0,0.0,266.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,7,0,14,0,0,0,2,3
Uun,0.0,,0.0,0.0,0.0,0.0,6.43444964983017,-13.71427144,0.612362865000001,19.07201771,4.8E-06,16.65,-1.43,0.0,6.61362352755971,-14.326634305,0.3180036375,18.08,,,27.3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,9,0,14,0,0,1,1,2
